Text;Size;Color;Angle;Font;Repeat;URL
ONCE;3;Random;Random;Random;Yes;http://wordart.com/go?word=once
MOTHAFUCKA;3;Random;Random;Random;Yes;http://wordart.com/go?word=mothafucka
TRUE;3;Random;Random;Random;Yes;http://wordart.com/go?word=true
CHILDREN;3;Random;Random;Random;Yes;http://wordart.com/go?word=children
GUN;3;Random;Random;Random;Yes;http://wordart.com/go?word=gun
SPOT;3;Random;Random;Random;Yes;http://wordart.com/go?word=spot
SEVEN;3;Random;Random;Random;Yes;http://wordart.com/go?word=seven
HOMIE;3;Random;Random;Random;Yes;http://wordart.com/go?word=homie
DOLLARS;3;Random;Random;Random;Yes;http://wordart.com/go?word=dollars
DAILY;3;Random;Random;Random;Yes;http://wordart.com/go?word=daily
FIRST;3;Random;Random;Random;Yes;http://wordart.com/go?word=first
HUSTLIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=hustlin'
TOP;3;Random;Random;Random;Yes;http://wordart.com/go?word=top
DUCKY;3;Random;Random;Random;Yes;http://wordart.com/go?word=ducky
HOPIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=hopin'
SIDE;3;Random;Random;Random;Yes;http://wordart.com/go?word=side
AROUND;3;Random;Random;Random;Yes;http://wordart.com/go?word=around
PLACE;3;Random;Random;Random;Yes;http://wordart.com/go?word=place
SELLIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=sellin'
SIDES;3;Random;Random;Random;Yes;http://wordart.com/go?word=sides
SLIDE;3;Random;Random;Random;Yes;http://wordart.com/go?word=slide
FACT;3;Random;Random;Random;Yes;http://wordart.com/go?word=fact
BOTH;3;Random;Random;Random;Yes;http://wordart.com/go?word=both
ENEMY;3;Random;Random;Random;Yes;http://wordart.com/go?word=enemy
SLAP;3;Random;Random;Random;Yes;http://wordart.com/go?word=slap
NAH;3;Random;Random;Random;Yes;http://wordart.com/go?word=nah
NONE;3;Random;Random;Random;Yes;http://wordart.com/go?word=none
FAKE;3;Random;Random;Random;Yes;http://wordart.com/go?word=fake
DEATH;3;Random;Random;Random;Yes;http://wordart.com/go?word=death
TV;3;Random;Random;Random;Yes;http://wordart.com/go?word=tv
ARTISTS;3;Random;Random;Random;Yes;http://wordart.com/go?word=artists
BOUGHT;3;Random;Random;Random;Yes;http://wordart.com/go?word=bought
OUTSIDE;3;Random;Random;Random;Yes;http://wordart.com/go?word=outside
HEAR;3;Random;Random;Random;Yes;http://wordart.com/go?word=hear
PROMISES;3;Random;Random;Random;Yes;http://wordart.com/go?word=promises
COOL;3;Random;Random;Random;Yes;http://wordart.com/go?word=cool
ACTIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=actin'
BEIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=bein'
WAITIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=waitin'
FAST;3;Random;Random;Random;Yes;http://wordart.com/go?word=fast
BUY;3;Random;Random;Random;Yes;http://wordart.com/go?word=buy
BLOCK;3;Random;Random;Random;Yes;http://wordart.com/go?word=block
SCARED;3;Random;Random;Random;Yes;http://wordart.com/go?word=scared
WHATEVER;3;Random;Random;Random;Yes;http://wordart.com/go?word=whatever
PUNISH;3;Random;Random;Random;Yes;http://wordart.com/go?word=punish
COMMANDMENTS;3;Random;Random;Random;Yes;http://wordart.com/go?word=commandments
AMERICAN;3;Random;Random;Random;Yes;http://wordart.com/go?word=american
BLESS;3;Random;Random;Random;Yes;http://wordart.com/go?word=bless
BANK;3;Random;Random;Random;Yes;http://wordart.com/go?word=bank
SWOLE;3;Random;Random;Random;Yes;http://wordart.com/go?word=swole
NIGHT;3;Random;Random;Random;Yes;http://wordart.com/go?word=night
