,freq,word,freq JK
1186,3.0,natural,2.0
1187,1.0,afro,1.0
1188,1.0,richard,1.0
1189,1.0,pryor,1.0
1190,1.0,stretch,1.0
1191,1.0,marks,1.0
1192,1.0,polo,1.0
1193,1.0,socks,1.0
1194,1.0,crazy,1.0
1195,1.0,amaze,1.0
1196,1.0,blew,1.0
1197,1.0,ac,1.0
1198,1.0,obama,1.0
1199,1.0,paged,1.0
1200,1.0,fabricate,1.0
1201,1.0,fakin,1.0
1202,1.0,modest,1.0
1203,1.0,elaborate,1.0
1204,1.0,grey,1.0
1205,1.0,poupon,1.0
1206,1.0,evian,1.0
1207,1.0,ted,1.0
1208,4.0,talk,4.0
1209,2.0,speak,2.0
1210,1.0,meds,1.0
1211,1.0,alcohol,1.0
1212,1.0,realest,1.0
1213,7.0,lust,7.0
1214,3.0,outrun,
1215,6.0,another,5.0
1216,1.0,premiere,
1217,3.0,bubbly,
1218,6.0,lovely,
1219,3.0,blade,3.0
1220,3.0,curb,3.0
1221,3.0,minimized,3.0
1222,3.0,net,3.0
1223,5.0,worth,5.0
1224,3.0,hund,3.0
1225,1.0,function,1.0
1226,1.0,assumptions,1.0
1227,1.0,tyson,1.0
1228,1.0,knock,1.0
1229,1.0,kiddin',1.0
1230,2.0,lean,2.0
1231,3.0,comin,3.0
1232,1.0,backstroke,1.0
1233,1.0,oversea,1.0
1234,1.0,already,1.0
1235,1.0,ten,1.0
1236,2.0,feeling,2.0
1237,1.0,drought,1.0
1238,1.0,party,1.0
1239,2.0,end,1.0
1240,1.0,waste,1.0
1241,1.0,poppin,1.0
1242,1.0,gum,1.0
1243,1.0,pressure,1.0
1244,1.0,blessing,1.0
1245,1.0,open,1.0
1246,3.0,door,1.0
1247,1.0,connection,1.0
1248,1.0,vague,1.0
1249,1.0,pick,1.0
1250,1.0,babe,1.0
1251,1.0,jammin',1.0
1252,1.0,attitude,1.0
1253,1.0,curves,1.0
1254,1.0,hips,1.0
1255,1.0,mammy,1.0
1256,1.0,gardena,1.0
1257,1.0,took,1.0
1258,1.0,studio,1.0
1259,1.0,camera,1.0
1260,2.0,mad,2.0
1261,3.0,exit,1.0
1262,1.0,yep,1.0
1263,3.0,geeked,
1264,6.0,fired,3.0
1265,6.0,fire,4.0
1266,3.0,tonight,1.0
1267,1.0,secret,1.0
1268,1.0,society,1.0
1269,1.0,resume,1.0
1270,1.0,millenniums,1.0
1271,1.0,wave,1.0
1272,1.0,defendin,1.0
1273,1.0,moderate,1.0
1274,1.0,wins,1.0
1275,1.0,fence,1.0
1276,1.0,lyric,1.0
1277,1.0,lifeline,1.0
1278,1.0,limit,1.0
1279,1.0,grind,1.0
1280,1.0,dollar,1.0
1281,1.0,sign,1.0
1282,1.0,riri,
1283,4.0,swerve,
1284,1.0,pulse,
1285,1.0,edm,
1286,1.0,gas,
1287,1.0,premium,
1288,1.0,haul,
1289,1.0,lane,
1290,1.0,cash,
1291,1.0,established,
1292,1.0,carats,
1293,1.0,atlas,
1294,2.0,alright,1.0
1295,1.0,savage,1.0
1296,1.0,asshole,1.0
1297,1.0,king,1.0
1298,3.0,shimmy,3.0
1299,3.0,ya,3.0
1300,1.0,rock,1.0
1301,1.0,babysit,1.0
1302,1.0,long,1.0
1303,1.0,slowed,1.0
1304,1.0,honestly,1.0
1305,1.0,forever,1.0
1306,2.0,10-4,2.0
1307,2.0,switchin,2.0
1308,2.0,wrong,2.0
1309,2.0,shifty,2.0
1310,5.0,loyal,2.0
1311,2.0,fame,2.0
1312,1.0,drink,1.0
1313,1.0,pipes,1.0
1314,1.0,rain,1.0
1315,1.0,chillin,1.0
1316,1.0,lights,1.0
1317,1.0,unconditional,1.0
1318,1.0,'rari,1.0
1319,2.0,mmm,
1320,1.0,advance,
1321,3.0,anybody,3.0
1322,1.0,lie,1.0
1323,1.0,tryin',
1324,1.0,dyin,
1325,4.0,water,4.0
1326,2.0,hot,2.0
1327,3.0,simmer,3.0
1328,3.0,overheat,3.0
1329,5.0,close,3.0
1330,3.0,comfort,3.0
1331,4.0,favorite,4.0
1332,3.0,vein,3.0
1333,3.0,heartbeat,3.0
1334,3.0,racin,3.0
1335,3.0,junkie's,3.0
1336,3.0,askin,3.0
1337,3.0,much,3.0
1338,3.0,respect,3.0
1339,3.0,cat,3.0
1340,2.0,everybody,2.0
1341,1.0,motherfuckin,1.0
1342,1.0,hands,1.0
1343,1.0,motherfuckin'—,1.0
1344,2.0,nike,
1345,2.0,rattles,
1346,2.0,battles,
1347,2.0,expected,
1348,5.0,wake,5.0
1349,5.0,mornin,5.0
1350,2.0,comedy,2.0
1351,2.0,lick,2.0
1352,2.0,cop,2.0
1353,2.0,fit,2.0
1354,2.0,kicks,2.0
1355,1.0,you—,1.0
1356,1.0,comedy—,1.0
1357,1.0,hang,1.0
1358,1.0,stunt,1.0
1359,1.0,sip,1.0
1360,1.0,pistol,1.0
1361,1.0,shoot,1.0
1362,4.0,bet,4.0
1363,1.0,team,1.0
1364,1.0,madden,1.0
1365,2.0,club,2.0
1366,1.0,doin,1.0
1367,2.0,count,2.0
1368,1.0,shower,1.0
1369,1.0,makeup,1.0
1370,1.0,lace,1.0
1371,1.0,weave,1.0
1372,1.0,credit,1.0
1373,1.0,card,1.0
1374,1.0,scam,1.0
1375,1.0,visa,1.0
1376,1.0,rent,1.0
1377,1.0,hatin,1.0
1378,1.0,pop,1.0
1379,1.0,pill,1.0
1380,1.0,fun,1.0
1381,1.0,bounce,1.0
1382,1.0,spinnin,1.0
1383,1.0,trance,1.0
1384,1.0,dead—what,1.0
1385,3.0,called,3.0
1386,1.0,lobby,1.0
1387,1.0,11,
1388,2.0,promised,2.0
1389,2.0,hour,2.0
1390,1.0,early,1.0
1391,1.0,room,1.0
1392,1.0,clothes,1.0
1393,1.0,bag,1.0
1394,1.0,loose,1.0
1395,2.0,change,2.0
1396,1.0,fumbled,1.0
1397,1.0,jewelry,1.0
1398,1.0,chain,1.0
1399,1.0,nap,1.0
1400,1.0,woke,1.0
1401,1.0,tune,1.0
1402,2.0,news,2.0
1403,2.0,lookin,2.0
1404,1.0,confirmation,1.0
1405,1.0,election,1.0
1406,1.0,worried,1.0
1407,1.0,buried,1.0
1408,2.0,married,2.0
1409,1.0,proposal,1.0
1410,1.0,cheap,1.0
1411,1.0,sad,1.0
1412,1.0,distraught,1.0
1413,1.0,neighbor,1.0
1414,1.0,agree,1.0
1415,1.0,parade,1.0
1416,1.0,voice,1.0
1417,1.0,proudly,1.0
1418,1.0,passin,1.0
1419,1.0,revertin,1.0
1420,1.0,programs,1.0
1421,1.0,ways,1.0
1422,1.0,lustin,1.0
1423,1.0,routine,1.0
1424,1.0,heightened,1.0
1425,2.0,’,2.0
1426,1.0,contradiction,1.0
1427,1.0,self,1.0
1428,1.0,turn,1.0
1429,1.0,james,1.0
1430,1.0,brace,1.0
1431,1.0,and—,
1432,7.0,taught,1.0
1433,6.0,share,
1434,12.0,care,3.0
1435,3.0,surely,3.0
1436,1.0,hell-raising,1.0
1437,1.0,wheel-chasing,1.0
1438,1.0,worldy,1.0
1439,1.0,possessions,1.0
1440,1.0,flesh-making,1.0
1441,1.0,spirit-breaking,1.0
1442,1.0,lessen,1.0
1443,1.0,part,1.0
1444,1.0,human,1.0
1445,1.0,dissect,1.0
1446,1.0,happiness,1.0
1447,1.0,flashiness,1.0
1448,1.0,question,1.0
1449,9.0,perfect,9.0
1450,1.0,beyond,1.0
1451,1.0,surface,1.0
1452,2.0,men,2.0
1453,1.0,lyrics,1.0
1454,1.0,hoping,1.0
1455,1.0,amend,1.0
1456,3.0,probably,3.0
1457,1.0,numb,1.0
1458,1.0,dealing,1.0
1459,3.0,cold,3.0
1460,1.0,thumb,1.0
1461,1.0,willing,1.0
1462,1.0,leg,1.0
1463,1.0,arm,1.0
1464,1.0,empathy,1.0
1465,1.0,pity,1.0
1466,1.0,functions,1.0
1467,1.0,24,1.0
1468,2.0,insecure,2.0
1469,1.0,insensitive,1.0
1470,1.0,december,1.0
1471,1.0,winter,1.0
1472,1.0,blame,1.0
1473,1.0,mistakes,1.0
1474,1.0,bed,1.0
1475,1.0,laid,1.0
1476,2.0,point,2.0
1477,1.0,nowadays,1.0
1478,1.0,smiles,1.0
1479,1.0,stares,1.0
1480,1.0,temperature,1.0
1481,1.0,goes,1.0
1482,1.0,indigenous,1.0
1483,1.0,disposition,1.0
1484,1.0,belong,1.0
1485,1.0,walls,1.0
1486,1.0,hurt,1.0
1487,1.0,becomes,1.0
1488,1.0,repetition,1.0
1489,1.0,almost,1.0
1490,1.0,venom,1.0
1491,1.0,women,1.0
1492,2.0,overcome,2.0
1493,1.0,filled,1.0
1494,1.0,resentment,1.0
1495,1.0,alive,1.0
1496,1.0,race,1.0
1497,1.0,barriers,1.0
1498,1.0,inferior,1.0
1499,2.0,choose,2.0
1500,1.0,schools,1.0
1501,1.0,religions,1.0
1502,2.0,service,2.0
1503,1.0,underst—,
1504,1.0,steak,1.0
1505,1.0,ark,1.0
1506,1.0,sharks,1.0
1507,1.0,wilderness,1.0
1508,1.0,sworn,1.0
1509,1.0,nemesis,1.0
1510,1.0,gratitude,1.0
1511,1.0,whoa,1.0
1512,3.0,little,3.0
1513,3.0,blower,3.0
1514,3.0,lap,3.0
1515,2.0,court,2.0
1516,1.0,x-rated,1.0
1517,4.0,johnny,4.0
1518,1.0,school,1.0
1519,3.0,mo,2.0
1520,3.0,mo',4.0
1521,1.0,books,1.0
1522,2.0,yesterday,2.0
1523,1.0,dog,1.0
1524,1.0,101,1.0
1525,1.0,insufficient,1.0
1526,1.0,funds,1.0
1527,1.0,sobbin,1.0
1528,1.0,mobbin,1.0
1529,1.0,belligerent,1.0
1530,1.0,drunk,1.0
1531,1.0,philosophin,1.0
1532,1.0,fucked,1.0
1533,1.0,anointed,1.0
1534,1.0,closure,1.0
1535,1.0,bring,1.0
1536,1.0,closer,1.0
1537,1.0,spiritual,1.0
1538,1.0,spirit,1.0
1539,1.0,sugarcoat,1.0
1540,1.0,answer,1.0
1541,1.0,gettin,1.0
1542,1.0,passion,1.0
1543,1.0,memories,1.0
1544,1.0,moments,1.0
1545,1.0,wait,1.0
1546,1.0,coward,1.0
1547,1.0,bodies,1.0
1548,1.0,ghetto,1.0
1549,1.0,paramedics,1.0
1550,1.0,dial,1.0
1551,1.0,sister,1.0
1552,2.0,niece,2.0
1553,1.0,nephew,1.0
1554,1.0,brother,1.0
1555,1.0,matter,1.0
1556,1.0,convention,1.0
1557,1.0,back—,1.0
1558,1.0,control,1.0
1559,2.0,country,
1560,2.0,drum,
1561,2.0,bass,
1562,1.0,jesus,1.0
1563,1.0,joseph,1.0
1564,1.0,great,1.0
1565,1.0,flag,1.0
1566,1.0,wrapped,1.0
1567,1.0,dragged,1.0
1568,1.0,explosives,1.0
1569,1.0,compulsive,1.0
1570,1.0,disorder,1.0
1571,1.0,sons,1.0
1572,1.0,barricaded,1.0
1573,1.0,borders,1.0
1574,1.0,wall,1.0
1575,1.0,corporate,1.0
1576,1.0,offices,1.0
1577,1.0,employees,1.0
1578,1.0,bosses,1.0
1579,1.0,homicidal,1.0
1580,1.0,donald,1.0
1581,1.0,trump,1.0
1582,1.0,office,1.0
1583,1.0,barack,1.0
1584,1.0,doubt,1.0
1585,1.0,honest,1.0
1586,1.0,bask,1.0
1587,1.0,sin,1.0
1588,1.0,pass,1.0
1589,1.0,gin,1.0
1590,1.0,mix,1.0
1591,1.0,bash,1.0
1592,1.0,crippin,1.0
1593,1.0,again—oops—accident,
1594,1.0,nasty,1.0
1595,1.0,set,1.0
1596,1.0,overnight,1.0
1597,1.0,rifles,1.0
1598,2.0,fox,2.0
1599,1.0,gang,1.0
1600,1.0,members,1.0
1601,1.0,terrorists,1.0
1602,2.0,et,2.0
1603,2.0,cetera,2.0
1604,1.0,reflections,1.0
1605,1.0,mirror,1.0
1606,1.0,ar—,
1607,1.0,theories,1.0
1608,1.0,suspicions,1.0
1609,1.0,diagnosed,1.0
1610,1.0,conditions,1.0
1611,1.0,intuition,1.0
1612,1.0,close—get,1.0
1613,1.0,double,1.0
1614,1.0,parked,1.0
1615,1.0,aston,1.0
1616,1.0,red,1.0
1617,1.0,hoes,1.0
1618,1.0,ecstatic,1.0
1619,1.0,signal,1.0
1620,1.0,read—,1.0
1621,4.0,buzzin,4.0
1622,4.0,radars,4.0
1623,4.0,buzzin',4.0
1624,43.0,yah,43.0
1625,1.0,interviews,1.0
1626,1.0,opinions,1.0
1627,1.0,use,1.0
1628,1.0,percentage,1.0
1629,1.0,latest,1.0
1630,1.0,muse,1.0
1631,1.0,livin',1.0
1632,1.0,uncle,1.0
1633,1.0,kendrick,1.0
1634,1.0,business,1.0
1635,1.0,geraldo,1.0
1636,1.0,politician,1.0
1637,1.0,israelite,1.0
1638,1.0,word,1.0
1639,1.0,color,1.0
1640,1.0,facts,1.0
1641,1.0,duckworth,1.0
1642,1.0,walks,1.0
1643,1.0,zeroes,1.0
1644,1.0,temptation,1.0
1645,1.0,list,1.0
1646,1.0,resist,1.0
1647,1.0,everyone,1.0
1648,1.0,together,1.0
1649,1.0,forever—,1.0
1650,,kool-aid,1.0
1651,,11:30,1.0
1652,,4:4,1.0
1653,,oops,1.0
1654,,accident,1.0
